,City,Country,Latitude,Longitude,Date,Description,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,Bluff,NZ,-46.6,168.3333,1652635695,Clouds,16,86,37.8,7.54
1,Butaritari,KI,3.0707,172.7902,1652635734,Rain,3,77,80.55,8.43
2,Jamestown,US,42.097,-79.2353,1652635735,Clouds,75,64,76.95,8.05
3,Nouadhibou,MR,20.931,-17.0347,1652635735,Sand,100,54,80.58,18.41
4,Khatanga,RU,71.9667,102.5,1652635736,Clouds,100,94,31.8,5.82
5,Port Elizabeth,ZA,-33.918,25.5701,1652635736,Clear,0,87,66.49,9.22
6,Cape Town,ZA,-33.9258,18.4232,1652635505,Clear,0,75,63.91,5.75
7,Kaitangata,NZ,-46.2817,169.8464,1652635737,Clouds,11,94,41.86,3.11
8,Atuona,PF,-9.8,-139.0333,1652635737,Rain,14,78,78.04,18.61
9,Kahului,US,20.8947,-156.47,1652635737,Clouds,20,69,76.84,15.01
10,Kungurtug,RU,50.5994,97.5228,1652635738,Clear,10,42,48.34,1.7
11,Bethel,US,41.3712,-73.414,1652635738,Clouds,75,72,79.36,9.22
12,Bredasdorp,ZA,-34.5322,20.0403,1652635739,Clear,0,91,56.91,6.26
13,Mataura,NZ,-46.1927,168.8643,1652635739,Clouds,14,98,37.47,2.93
14,Busselton,AU,-33.65,115.3333,1652635739,Clouds,76,80,53.49,5.57
15,Banda Aceh,ID,5.5577,95.3222,1652635740,Clouds,57,82,81.88,12.28
16,Dunedin,NZ,-45.8742,170.5036,1652635504,Clouds,41,83,48.79,1.99
17,Saint-Philippe,RE,-21.3585,55.7679,1652635740,Clouds,36,79,71.19,10.07
18,Tabou,CI,4.423,-7.3528,1652635741,Clouds,100,79,82.63,7.83
19,East London,ZA,-33.0153,27.9116,1652635741,Clear,0,88,65.34,5.75
20,Uglovoye,UA,44.8215,33.6045,1652635742,Clear,2,80,61.02,7.49
21,Rikitea,PF,-23.1203,-134.9692,1652635742,Clouds,100,70,77.09,16.98
22,Lagos,NG,6.5833,3.75,1652635517,Clouds,90,70,89.92,8.08
23,Punta Alta,AR,-38.8759,-62.0736,1652635743,Clouds,83,67,54.97,22.21
24,Provideniya,RU,64.3833,-173.3,1652635743,Clouds,51,74,35.19,8.41
25,Ushuaia,AR,-54.8,-68.3,1652635743,Clouds,20,66,46.06,3.44
26,Barrow,US,71.2906,-156.7887,1652635744,Clear,0,86,21.22,5.75
27,Hobart,AU,-42.8794,147.3294,1652635481,Rain,50,73,52.27,14.97
28,Sur,OM,22.5667,59.5289,1652635744,Clear,0,59,84.74,8.08
29,Takoradze,GH,4.8845,-1.7554,1652635745,Clouds,30,73,83.26,8.48
30,Punta Arenas,CL,-53.15,-70.9167,1652635694,Clear,0,76,44.71,14.97
31,Vila,PT,42.0304,-8.1588,1652635512,Clouds,97,73,55.71,11.83
32,Hilo,US,19.7297,-155.09,1652635745,Rain,100,91,75.27,9.22
33,Namatanai,PG,-3.6667,152.4333,1652635746,Clouds,100,79,78.84,2.77
34,Saint-Pierre,RE,-21.3393,55.4781,1652635746,Clear,0,73,71.91,8.05
35,Lüderitz,NA,-26.6481,15.1594,1652635746,Clouds,33,39,68.85,6.35
36,Lebu,CL,-37.6167,-73.65,1652635747,Clouds,100,44,57.51,2.91
37,George Town,MY,5.4112,100.3354,1652635747,Rain,20,89,82.33,2.3
38,Kavaratti,IN,10.5669,72.642,1652635748,Clouds,100,85,80.51,16.64
39,Albany,US,42.6001,-73.9662,1652635720,Clouds,82,71,79.95,4.25
40,Necochea,AR,-38.5473,-58.7368,1652635748,Clouds,100,77,54.09,23.91
41,Hithadhoo,MV,-0.6,73.0833,1652635749,Clouds,87,70,83.73,10.51
42,Tezu,IN,27.9167,96.1667,1652635749,Clouds,100,98,71.35,3.87
43,Yellowknife,CA,62.456,-114.3525,1652635632,Clouds,75,49,48.72,15.01
44,Maunabo,PR,18.0072,-65.8993,1652635755,Clouds,26,76,87.66,12.06
45,Saskylakh,RU,71.9167,114.0833,1652635755,Snow,100,99,33.55,6.49
46,Puerto Ayora,EC,-0.7393,-90.3518,1652635756,Clouds,58,89,84.16,4.0
47,Flin Flon,CA,54.7682,-101.865,1652635756,Clouds,100,70,39.04,13.8
48,Coahuayana Viejo,MX,18.7333,-103.6833,1652635756,Clouds,71,34,91.33,6.87
49,Kapaa,US,22.0752,-159.319,1652635757,Clouds,75,91,75.52,13.8
50,Bambous Virieux,MU,-20.3428,57.7575,1652635757,Rain,40,94,73.65,5.75
51,Ust'-Kan,RU,50.9276,84.761,1652635758,Clouds,100,79,50.65,5.14
52,Yiyang,CN,28.5892,112.3283,1652635758,Clouds,94,91,54.45,3.62
53,Vaini,TO,-21.2,-175.2,1652635758,Clouds,20,83,68.16,5.75
54,Taoudenni,ML,22.6783,-3.9836,1652635759,Clouds,40,4,104.54,23.04
55,Hong Kong,HK,22.2855,114.1577,1652635759,Clouds,100,89,71.65,15.01
56,Vicksburg,US,32.3526,-90.8779,1652635760,Clear,0,58,89.28,4.61
57,Vestmannaeyjar,IS,63.4427,-20.2734,1652635760,Clouds,100,93,49.19,12.66
58,Huercal Overa,ES,37.389,-1.9454,1652635760,Clouds,91,45,83.23,3.83
59,Ribeira Grande,PT,38.5167,-28.7,1652635761,Rain,75,88,61.2,19.57
60,Alofi,NU,-19.0595,-169.9187,1652635761,Clouds,100,94,62.49,0.0
61,Saint Paul Harbor,US,57.79,-152.4072,1652635762,Clear,0,43,49.51,6.91
62,Nikolskoye,RU,59.7035,30.7861,1652635762,Clouds,78,66,52.88,8.43
63,Shache,CN,38.4167,77.2406,1652635763,Clouds,100,45,67.23,21.12
64,Ancud,CL,-41.8697,-73.8203,1652635763,Clouds,72,63,53.42,9.86
65,Hermanus,ZA,-34.4187,19.2345,1652635763,Clear,0,66,62.8,9.62
66,Itaituba,BR,-4.2761,-55.9836,1652635764,Rain,75,70,89.76,5.75
67,San Ramon,US,37.7799,-121.978,1652635627,Clear,0,69,77.52,13.8
68,Chokurdakh,RU,70.6333,147.9167,1652635764,Clouds,68,97,4.64,5.26
69,Mnogovershinnyy,RU,53.9353,139.9242,1652635765,Snow,100,96,29.21,8.12
70,Along,IN,28.1667,94.7667,1652635765,Clouds,98,98,71.56,0.94
71,Airai,TL,-8.9266,125.4092,1652635766,Clouds,84,96,60.4,1.74
72,Geraldton,AU,-28.7667,114.6,1652635766,Clear,4,87,54.01,8.05
73,Tomohon,ID,1.3346,124.8392,1652635766,Clouds,99,90,68.94,2.28
74,Port Alfred,ZA,-33.5906,26.891,1652635767,Clouds,28,89,63.18,11.95
75,Uvinza,TZ,-5.1036,30.3911,1652635767,Clouds,97,79,71.4,2.68
76,Aquidauana,BR,-20.4711,-55.7872,1652635768,Clouds,90,71,77.34,5.1
77,Ōhara,JP,35.25,140.3833,1652635768,Rain,100,87,62.29,1.28
78,Arraial do Cabo,BR,-22.9661,-42.0278,1652635768,Rain,75,69,78.66,12.66
79,Longyearbyen,SJ,78.2186,15.6401,1652635769,Clouds,75,69,30.04,3.44
80,Monrovia,LR,6.3005,-10.7969,1652635769,Rain,95,77,82.92,8.12
81,Tiksi,RU,71.6872,128.8694,1652635770,Clouds,79,100,0.93,2.8
82,Kruisfontein,ZA,-34.0033,24.7314,1652635770,Clear,1,86,63.88,5.55
83,Honiara,SB,-9.4333,159.95,1652635771,Clouds,25,87,76.68,3.51
84,New Norfolk,AU,-42.7826,147.0587,1652635771,Rain,63,76,51.93,1.99
85,Vila Franca do Campo,PT,37.7167,-25.4333,1652635771,Clouds,99,73,68.2,17.94
86,Mahajanga,MG,-15.7167,46.3167,1652635772,Clouds,20,78,77.02,4.61
87,Los Llanos de Aridane,ES,28.6585,-17.9182,1652635772,Clouds,20,82,69.55,4.61
88,Worthing,GB,50.8145,-0.3713,1652635772,Clear,0,74,67.89,12.66
89,Deputatsky,RU,69.3,139.9,1652635778,Clouds,100,97,11.86,4.16
90,Havelock,US,34.8791,-76.9013,1652635778,Clouds,75,70,84.97,7.0
91,Washington,US,47.5001,-120.5015,1652635745,Clouds,100,76,54.19,2.55
